Fund;Fund Type;Fund focus;Pledge (USD mn);Deposit (USD mn);Approval (USD mn);Disbursement (USD mn);Number of projects approved
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Adaptation; 382,34 ; 332,16 ; 298,38 ; 265,09 ;43
Adaptation for Smallholder Agriculture Programme (ASAP+);Multilateral;Multiple Foci; 129,84 ; 81,04 ; 64,35 ; 6,52 ;10
Adaptation Fund (AF);Multilateral;Adaptation; 2 136,89 ; 1 961,38 ; 1 210,51 ; 756,28 ;328
Amazon Fund;Multi Donor National;Mitigation - REDD; 1 925,07 ; 1 910,89 ; 903,53 ; 629,87 ;118
BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund ISFL);Multilateral;Mitigation - REDD; 363,02 ; 332,07 ; 128,65 ; 59,87 ;8
Central African Forest Initiative (CAFI);Multi Donor Regional;Mitigation - REDD; 903,01 ; 773,99 ; 626,97 ; 545,56 ;37
Clean Technology Fund (CTF);Multilateral;Mitigation - General; 8 934,01 ; 8 934,01 ; 5 776,48 ; 2 189,49 ;178
Congo Basin Forest Fund (CBFF);Multi Donor Regional;Mitigation - REDD; 186,02 ; 164,65 ; 83,11 ; 58,91 ;37
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Mitigation - REDD; 472,54 ; 472,54 ; 314,34 ; 298,05 ;46
Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF);Multilateral;Mitigation - REDD; 947,14 ; 947,14 ; 721,30 ; 164,49 ;15
Forest Investment Program (FIP);Multilateral;Mitigation - REDD; 751,16 ; 751,16 ; 696,67 ; 456,10 ;70
Fund for Responding to Loss and Damage (FRLD);Multilateral;Multiple Foci; 749,20 ; 139,20 ; -   ; -   ;0
Global Environment Facility (GEF4);Multilateral;Multiple Foci; 1 082,98 ; 1 082,98 ; 930,68 ; 930,68 ;227
Global Environment Facility (GEF5);Multilateral;Multiple Foci; 1 152,41 ; 1 147,92 ; 808,02 ; 533,90 ;231
Global Environment Facility (GEF6);Multilateral;Multiple Foci; 1 117,16 ; 1 109,43 ; 940,47 ; 239,12 ;238
Global Environment Facility (GEF7);Multilateral;Multiple Foci; 728,38 ; 728,38 ; 1 733,47 ; 2,57 ;243
Global Environment Facility (GEF8);Multilateral;Multiple Foci; 905,59 ; 905,59 ; 129,26 ; -   ;56
Global Climate Change Alliance (GCCA);Multilateral;Multiple Foci; 1 652,83 ; 1 652,83 ; 891,36 ; 540,14 ;107
Global Energy Efficiency and Renewable Energy Fund (GEEREF);Multilateral;Mitigation - General; 281,50 ; 275,50 ; 223,59 ; 89,07 ;19
Green Climate Fund IRM (GCF IRM);Multilateral;Multiple Foci; 10 322,03 ; 8 310,83 ; 5 142,91 ; 3 517,51 ;483
Green Climate Fund (GCF-1);Multilateral;Multiple Foci; 10 002,61 ; 9 690,73 ; 8 739,65 ; 1 966,91 ;476
Green Climate Fund (GCF-2);Multilateral;Multiple Foci; 13 616,28 ; 2 142,93 ; 2 607,26 ; 59,53 ;118
Indonesia Climate Change Trust Fund (ICCTF);Multi Donor National;Multiple Foci; 26,17 ; 16,70 ; -   ; -   ;0
Least Developed Countries Fund (LDCF);Multilateral;Adaptation; 2 358,07 ; 2 218,39 ; 1 497,12 ; 547,98 ;320
MDG Achievement Fund;Multilateral;Adaptation; 89,50 ; 89,50 ; 89,52 ; 89,52 ;18
Partnership for Market Readiness;Multilateral;Mitigation - General; 131,50 ; 129,80 ; 82,36 ; 64,37 ;42
Pilot Program for Climate Resilience (PPCR);Multilateral;Adaptation; 1 156,29 ; 1 156,29 ; 1 010,62 ; 854,85 ;123
Scaling Up Renewable Energy Program (SREP);Multilateral;Mitigation - General; 774,94 ; 774,94 ; 673,58 ; 296,10 ;94
Special Climate Change Fund (SCCF);Multilateral;Adaptation; 459,61 ; 421,91 ; 289,21 ; 204,32 ;75
UN-REDD Programme;Multilateral;Mitigation - REDD; 436,22 ; 400,32 ; 426,72 ; 406,10 ;40
;;;;; ;;
